DriverID,FirstName,LastName,Phone,Email,LicenseNumber,Age,Gender,YearsExperience,Rating,JoinDate
1,Steven,Singh,+6592056777,steven.singh.driver764@gmail.com,D9279786,47,M,1,4.54,2019-08-04
2,Raymond,Ho,+6596173530,raymond.ho.driver873@gmail.com,D7620077,52,F,14,4.07,2021-11-05
3,Daniel,Liu,+6597033440,daniel.liu.driver758@gmail.com,D4097690,29,M,1,4.68,2018-05-11
4,Lee,Ang,+6587537823,lee.ang.driver827@yahoo.com.sg,D7229797,33,M,2,4.58,2020-05-06
5,Ryan,Low,+6586916096,ryan.low.driver302@yahoo.com.sg,D2757352,32,F,2,4.98,2017-07-27
6,Vanessa,Wang,+6595988189,vanessa.wang.driver210@hotmail.com,D5587443,33,M,6,4.3,2022-06-06
7,Margaret,Binte,+6592843803,margaret.binte.driver215@hotmail.com,D7895898,46,M,11,4.43,2015-03-12
8,David,Chew,+6593897757,david.chew.driver901@gmail.com,D1170730,38,M,11,4.8,2018-12-10
9,Siti,Tan,+6588380808,siti.tan.driver524@hotmail.com,D5635248,47,M,3,4.14,2019-05-30
10,Wong,Lee,+6589995829,wong.lee.driver472@gmail.com,D3947504,62,M,12,4.56,2023-02-28
11,Sophia,Rahman,+6584345035,sophia.rahman.driver913@hotmail.com,D8282239,28,M,1,4.21,2021-10-04
12,Cheryl,Yang,+6584895934,cheryl.yang.driver570@yahoo.com.sg,D5375818,58,F,14,4.39,2018-08-26
13,Ahmad,Binte,+6585601082,ahmad.binte.driver909@yahoo.com.sg,D7475202,43,M,7,4.57,2018-10-31
14,Alex,Chen,+6597243571,alex.chen.driver766@yahoo.com.sg,D4391165,40,M,8,4.39,2021-12-24
15,Vanessa,Zhang,+6593767358,vanessa.zhang.driver427@gmail.com,D8021522,49,M,25,4.88,2018-03-04
16,Siti,Ali,+6595147007,siti.ali.driver896@hotmail.com,D6233038,39,F,13,4.95,2024-11-26
17,Kelvin,Huang,+6597904280,kelvin.huang.driver576@gmail.com,D5471418,61,M,5,4.26,2024-01-27
18,Amanda,Ng,+6592063041,amanda.ng.driver413@hotmail.com,D1237842,64,M,22,4.04,2021-01-19
19,Tan,Koh,+6589235219,tan.koh.driver824@gmail.com,D4364885,46,M,15,4.86,2015-10-26
20,Jason,Singh,+6582942254,jason.singh.driver161@yahoo.com.sg,D2741454,31,M,7,4.84,2016-08-29
21,David,Koh,+6594111063,david.koh.driver688@gmail.com,D2952030,57,M,28,4.38,2020-07-12
22,Vanessa,Abdullah,+6589677180,vanessa.abdullah.driver573@yahoo.com.sg,D9368700,35,M,7,4.91,2015-02-07
23,Amanda,Khoo,+6598728198,amanda.khoo.driver737@hotmail.com,D2223044,39,M,13,4.53,2020-01-05
24,Hui,Choey,+6597879014,hui.choey.driver861@hotmail.com,D1374595,65,M,26,4.16,2019-12-07
25,Vanessa,Ang,+6592567816,vanessa.ang.driver320@hotmail.com,D1087426,60,M,10,4.86,2020-09-21
26,Tan,Chan,+6592757280,tan.chan.driver592@hotmail.com,D6788238,32,M,7,4.31,2022-05-24
