order_item_id,order_id,product_id,customer_id,first_name,last_name,email,city,country,age,gender,membership_tier,registration_date,order_date,status,payment_method,shipping_city,shipping_country,product_name,category,brand,product_list_price,unit_cost,quantity,unit_price,discount_pct,line_gross,line_net,line_profit
1,1,5,32,Felix,Allen,felix.allen@email.com,Singapore,Singapore,37,Male,Bronze,2021-09-03,2024-05-07,Shipped,Credit Card,Bangkok,Thailand,Smartwatch,Electronics,TechPro,299.0,130.0,2,299.0,20,598.0,478.4,270.4
2,2,18,11,Karen,Brown,karen.brown@email.com,Kuala Lumpur,Malaysia,24,Male,Gold,2022-12-23,2024-01-24,Shipped,PayNow,Singapore,Singapore,SQL Mastery Guide,Books,TechBooks,34.9,9.0,1,34.9,0,34.9,34.9,25.9
3,2,12,11,Karen,Brown,karen.brown@email.com,Kuala Lumpur,Malaysia,24,Male,Gold,2022-12-23,2024-01-24,Shipped,PayNow,Singapore,Singapore,Air Purifier,Home & Living,CleanAir,249.0,100.0,1,249.0,5,249.0,236.55,141.55
4,2,3,11,Karen,Brown,karen.brown@email.com,Kuala Lumpur,Malaysia,24,Male,Gold,2022-12-23,2024-01-24,Shipped,PayNow,Singapore,Singapore,Wireless Headphones,Electronics,SoundMax,149.0,60.0,3,149.0,15,447.0,379.95,226.95
5,2,13,11,Karen,Brown,karen.brown@email.com,Kuala Lumpur,Malaysia,24,Male,Gold,2022-12-23,2024-01-24,Shipped,PayNow,Singapore,Singapore,Desk Lamp,Home & Living,LumiLight,39.9,12.0,3,39.9,10,119.7,107.73,75.33
6,3,12,30,David,Walker,david.walker@email.com,Jakarta,Indonesia,56,Male,Gold,2022-01-18,2023-10-20,Cancelled,Bank Transfer,Hanoi,Vietnam,Air Purifier,Home & Living,CleanAir,249.0,100.0,1,249.0,10,249.0,224.1,134.1
7,3,4,30,David,Walker,david.walker@email.com,Jakarta,Indonesia,56,Male,Gold,2022-01-18,2023-10-20,Cancelled,Bank Transfer,Hanoi,Vietnam,Tablet,Electronics,TechPro,649.0,360.0,3,649.0,10,1947.0,1752.3,780.3
8,3,8,30,David,Walker,david.walker@email.com,Jakarta,Indonesia,56,Male,Gold,2022-01-18,2023-10-20,Cancelled,Bank Transfer,Hanoi,Vietnam,Running Shoes,Clothing,SpeedStep,119.0,45.0,2,119.0,15,238.0,202.3,125.8
9,3,16,30,David,Walker,david.walker@email.com,Jakarta,Indonesia,56,Male,Gold,2022-01-18,2023-10-20,Cancelled,Bank Transfer,Hanoi,Vietnam,Data Engineering Handbook,Books,TechBooks,59.9,15.0,1,59.9,15,59.9,50.92,38.16
10,4,10,43,Sara,Nelson,sara.nelson@email.com,Yangon,Myanmar,48,Male,Bronze,2023-03-15,2024-05-13,Completed,PayNow,Jakarta,Indonesia,Winter Jacket,Clothing,WarmWear,199.0,75.0,1,199.0,0,199.0,199.0,124.0
